"days"	"cases"
1	0
2	0
3	0
4	1
5	0
6	0
7	1
8	0
9	0
10	0
11	0
12	0
13	2
14	2
15	1
16	3
17	4
18	16
19	6
20	8
21	16
22	12
23	7
24	15
25	13
26	23
27	17
28	25
29	20
30	27
31	25
32	28
33	19
34	9
35	12
36	16
37	11
38	7
39	4
40	5
41	3
42	1
43	4
44	9
45	6
46	4
47	1
48	3
49	0
50	0
51	2
52	2
53	1
54	2
55	1
56	0
57	0
58	3
59	0
60	1
61	0
62	1
63	0
64	3
65	1
66	2
67	0
68	1
69	1
70	2
71	1
72	3
73	0
74	0
75	1
76	0
77	0
78	0
79	1
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	2
88	3
89	2
90	0
91	0
92	1
93	1
94	1
95	6
96	8
97	1
98	1
99	6
100	4
101	6
102	15
103	17
104	4
105	8
106	3
107	4
108	18
109	24
110	4
111	8
112	4
113	3
114	12
115	12
116	14
117	5
118	23
119	2
120	16
121	5
122	17
123	25
124	19
125	25
126	6
127	38
128	19
129	32
130	25
131	37
132	18
133	18
134	19
135	26
136	19
137	21
138	18
139	26
140	11
141	21
142	17
143	50
144	57
145	65
146	55
147	28
148	46
149	99
150	119
151	119
152	87
153	44
154	198
155	139
156	170
157	147
158	200
159	222
160	146
161	137
162	115
163	195
164	342
165	217
166	272
167	200
168	163
169	125
170	233
171	228
172	209
173	256
174	227
175	151
176	201
177	244
178	287
179	231
180	264
181	173
182	104
183	156
184	303
185	188
186	231
187	190
188	145
189	89
190	58
191	86
192	157
193	143
194	112
195	93
196	71
197	60
198	94
199	134
200	109
201	103
202	71
203	49
204	53
205	154
206	82
207	96
208	123
209	88
210	89
211	80
212	94
213	101
214	69
215	87
216	53
217	41
218	66
219	90
220	86
221	107
222	58
223	79
224	37
225	30
226	80
227	74
228	69
229	81
230	68
231	31
232	59
233	64
234	52
235	66
236	58
237	49
238	26
239	50
240	41
241	60
242	74
243	46
244	53
